date,state,fips,cases,deaths
2021-11-7,Alaska,2,141182,723
2021-11-7,American Samoa,60,4,0
2021-11-7,Arizona,4,1189708,21409
2021-11-7,Arkansas,5,516245,8497
2021-11-7,California,6,4961782,72698
2021-11-7,Colorado,8,765572,8598
2021-11-7,Connecticut,9,404969,8790
2021-11-7,Delaware,10,145903,2119
2021-11-7,District of Columbia,11,64799,1193
2021-11-7,Florida,12,3659255,60334
2021-11-7,Georgia,13,1605752,28430
2021-11-7,Guam,66,19608,249
2021-11-7,Hawaii,15,82282,959
2021-11-7,Idaho,16,296348,3647
2021-11-7,Illinois,17,1718384,28832
2021-11-7,Indiana,18,1033866,16898
2021-11-7,Iowa,19,494407,7069
2021-11-7,Kansas,20,441278,6524
2021-11-7,Kentucky,21,756576,10017
2021-11-7,Louisiana,22,761849,14615
2021-11-7,Maine,23,107772,1207
2021-11-7,Maryland,24,566313,10974
2021-11-7,Massachusetts,25,861480,19087
2021-11-7,Michigan,26,1307187,23951
2021-11-7,Minnesota,27,815132,8952
2021-11-7,Mississippi,28,506556,10148
2021-11-7,Missouri,29,879627,12932
2021-11-7,Montana,30,180649,2417
2021-11-7,Nebraska,31,289282,3001
2021-11-7,Nevada,32,455163,7713
2021-11-7,New Hampshire,33,139324,1597
2021-11-7,New Jersey,34,1207469,28085
2021-11-7,New Mexico,35,282742,5115
2021-11-7,New York,36,2587606,56245
2021-11-7,North Carolina,37,1491130,18264
2021-11-7,North Dakota,38,151876,1827
2021-11-7,Northern Mariana Islands,69,343,3
2021-11-7,Ohio,39,1572197,25067
2021-11-7,Oklahoma,40,648209,10879
2021-11-7,Oregon,41,372137,4562
2021-11-7,Pennsylvania,42,1593811,31898
2021-11-7,Puerto Rico,72,219221,3245
2021-11-7,Rhode Island,44,181079,2881
2021-11-7,South Carolina,45,902329,13841
2021-11-7,South Dakota,46,156995,2267
2021-11-7,Tennessee,47,1257642,16372
2021-11-7,Texas,48,4252903,72278
2021-11-7,Utah,49,560717,3286
2021-11-7,Vermont,50,42313,384
2021-11-7,Virgin Islands,78,7275,83
2021-11-7,Virginia,51,933542,14125
2021-11-7,Washington,53,740219,8844
2021-11-7,West Virginia,54,278171,4518
2021-11-7,Wisconsin,55,899804,9542
2021-11-7,Wyoming,56,105318,1243
2021-11-8,Alabama,1,836255,15834
2021-11-8,Alaska,2,142521,774
2021-11-8,American Samoa,60,4,0
2021-11-8,Arizona,4,1192365,21409
2021-11-8,Arkansas,5,516386,8508
2021-11-8,California,6,4978363,72811
2021-11-8,Colorado,8,773082,8691
2021-11-8,Connecticut,9,405910,8790
2021-11-8,Delaware,10,146139,2119
2021-11-8,District of Columbia,11,65050,1193
2021-11-8,Florida,12,3661182,60418
2021-11-8,Georgia,13,1605859,28430
2021-11-8,Guam,66,19657,250
2021-11-8,Hawaii,15,82379,959
2021-11-8,Idaho,16,297189,3679
2021-11-8,Illinois,17,1725686,28877
2021-11-8,Indiana,18,1038714,16916
2021-11-8,Iowa,19,494407,7069
2021-11-8,Kansas,20,443100,6561
2021-11-8,Kentucky,21,758824,10095
2021-11-8,Louisiana,22,762659,14622
2021-11-8,Maine,23,107772,1207
2021-11-8,Maryland,24,566868,10988
2021-11-8,Massachusetts,25,865806,19093
2021-11-8,Michigan,26,1317252,24003
2021-11-8,Minnesota,27,819363,8986
2021-11-8,Mississippi,28,507116,10153
2021-11-8,Missouri,29,880652,12932
2021-11-8,Montana,30,181548,2424
2021-11-8,Nebraska,31,290794,3001
2021-11-8,Nevada,32,457039,7759
2021-11-8,New Hampshire,33,141317,1599
2021-11-8,New Jersey,34,1208321,28092
2021-11-8,New Mexico,35,286086,5126
2021-11-8,New York,36,2593360,56280
2021-11-8,North Carolina,37,1495295,18329
2021-11-8,North Dakota,38,152036,1827
2021-11-8,Northern Mariana Islands,69,343,3
2021-11-8,Ohio,39,1575319,25067
2021-11-8,Oklahoma,40,650004,10879
2021-11-8,Oregon,41,374253,4620
2021-11-8,Pennsylvania,42,1597065,31915
2021-11-8,Puerto Rico,72,219289,3246
